name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
G.Skill Trident Z RGB 32 GB,99.99,"[4,4400]","[2,16]",3.125,Black,8.636,19
Patriot Viper 3 16 GB,28.99,"[3,1866]","[2,8]",1.812,Black / Silver,10.718,10
Corsair Vengeance RGB 64 GB,224.99,"[5,6400]","[2,32]",3.515,Black / Gray,10,32
Patriot Viper Steel 8 GB,19.98,"[4,3200]","[1,8]",2.498,Silver / Black,10,16
Corsair Dominator Platinum RGB 32 GB,209.99,"[5,7200]","[2,16]",6.562,Black,9.444,34
Corsair Vengeance 32 GB,124.99,"[5,6000]","[2,16]",3.906,Gray,12,36
Corsair Dominator Platinum RGB 32 GB,169.99,"[5,6000]","[2,16]",5.312,Black,10,30
TEAMGROUP T-Create Expert 32 GB,99.99,"[5,6400]","[2,16]",3.125,Black,10,32
Corsair Vengeance 32 GB,114.99,"[5,5600]","[2,16]",3.593,Gray,12.857,36
Corsair Vengeance RGB Pro SL 64 GB,184.99,"[4,3600]","[4,16]",2.89,White,10,18
