name,Price,tracking_method,connection_type,max_dpi,hand_orientation,color
Endgame Gear XM1r,59.99,Optical,Wired,19000,Right,Black / Gold
Genius DX 110,,Optical,Wired,1000,Both,Black
Glorious Model I,85.8,Optical,Wired,19000,Right,White / Red
Targus AMU81USZ,6.99,Optical,Wired,1000,,Black
Razer Orochi V2,58.01,Optical,Wireless,18000,Right,Black
SteelSeries Prime Wireless,49.99,Optical,Wireless,18000,Right,Black
Redragon Perdition,35.99,Laser,Wired,16400,Right,Black / Red
Logitech G502 Proteus Core,,Optical,Wired,12000,Right,Black / Blue
Asus ROG Strix Impact II,28.97,Optical,Wired,6200,Right,Black
ROCCAT Kone XP Air,109.99,Optical,"Wired, Wireless, Bluetooth Wireless",19000,Right,White
Redragon ?M711-FPS COBRA RGB,29.99,Optical,Wired,24000,Right,Black
Logitech G203 Lightsync,23.9,Optical,Wired,8000,Right,Purple
MSI CLUTCH GM51,93.57,Optical,"Wired, Wireless",26000,Right,Black
Razer Lancehead Tournament Edition,85.94,Optical,Wired,16000,Both,Pink
Razer Basilisk V3 Pro + Wireless Charging Puck,169.99,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black
Razer Atheris,29.99,Optical,Wireless,7200,Right,Black
Corsair KATAR PRO,34.98,Optical,Wireless,10000,Right,Black
EVGA X15 MMO Gaming,39.99,Optical,Wired,16000,Right,Black
Logitech G300S,33.95,Optical,Wired,2500,Both,Black / Blue
Razer DeathAdder V2 - Halo Infinite,71.03,Optical,Wired,20000,Right,Green / Black
Corsair KATAR ELITE,79.98,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Redragon Mammoth,29.99,Laser,Wired,16400,Right,Black / Red
TeckNet M268-Black,,Optical,Wired,3000,Right,Black
ROCCAT Burst Pro,25,Optical,Wired,16000,Right,Black
ROCCAT KONE Pro,52.49,Optical,Wired,19000,Right,Black
ROCCAT Kone XP Air,109.99,Optical,"Wired, Wireless, Bluetooth Wireless",19000,Right,Black
HP HyperX Pulsefire Haste,49.99,Optical,Wireless,16000,Right,White
Pulsar Xlite V2,,Optical,Wireless,20000,Right,Black
V7 M30P10-7N,9.99,Optical,Wired,1000,Both,Black
SteelSeries Prime+,56,Optical,Wired,18000,Right,Black
Asus ROG Spatha,,Laser,Wireless,8200,Right,Black
Asus TUF Gaming M4 Wireless,59.99,Optical,Wireless,,Right,Black
Glorious Model D-,49.99,Optical,Wired,12000,Right,White
Logitech MX Master,99.68,Optical,Wireless,1600,Right,Black / Copper
Gigabyte GM-M5050,15,Optical,Wired,800,Both,Black
A4Tech Bloody V7,,Optical,Wired,3200,Both,Black / Red
Asus TUF Gaming M3 Gen II,24.99,Optical,Wired,8000,Right,Black / Yellow
Logitech M185,13.49,Laser,Wireless,,Both,Black
Logitech G Pro,69.98,Optical,Wired,12000,Right,Black
Dell MS116,18.99,Optical,Wired,1000,Both,Black
MSI CLUTCH GM50,34.99,Optical,Wired,7200,Right,Black
SteelSeries Rival 310,65.3,Optical,Wired,12000,Right,Black
Perixx MX-2000B,,Laser,Wired,5040,Right,Black / Silver
Corsair SABRE RGB PRO WIRELESS CHAMPION SERIES,,Optical,Wireless,26000,Right,Black
Logitech MX518,69.9,Optical,Wired,16000,Right,Black
HP HyperX Pulsefire Haste 2,49.99,Optical,Wired,3200,Right,White
Corsair DARK CORE RGB,150.4,Optical,Wireless,16000,Right,Black
Gigabyte AORUS M2,26.24,Optical,Wired,6200,Both,Black
EVGA X17,30.12,Optical,Wired,16000,Right,Black / Gray
Razer Mamba Tournament Edition,,Laser,Wired,16000,Right,Black
SteelSeries Sensei Ten,49.95,Optical,Wired,18000,Right,Black
Logitech G203 Lightsync,25,Optical,Wired,8000,Right,Blue
Verbatim 99768 Commuter,10.95,Optical,Wireless,,Both,White
Logitech G603,,Optical,Wireless,12000,Right,Black
Logitech MX ANYWHERE 3,79.99,Laser,"Wireless, Bluetooth Wireless",4000,Right,Black
Logitech Rechargeable Trackpad for Mac,257.36,Touchpad,Bluetooth Wireless,,Both,Silver
Endgame Gear XM2we,89.99,Optical,"Wired, Wireless",19000,Right,Black
Tempest MS100 Paladin,,Optical,Wired,16000,Both,Black / Red
ROCCAT Kone AIMO Remastered,69.11,Optical,Wired,16000,Right,White
HP HyperX Pulsefire Haste,39.99,Optical,Wired,16000,Right,White / Pink
Asus ROG Gladius II Origin,142.9,Optical,Wired,12000,Right,Black
Microsoft Intellimouse Pro - White Shadow,117.87,Optical,Wired,16000,Right,White / Black
Redragon Centrophorus M601,,Optical,Wired,2000,Right,Black / Red
Logitech G703 (Black),71.98,Optical,Wireless,12000,Right,Black
Logitech MX Master 3,99.99,Laser,Wireless,4000,Right,Silver
Keychron M3,,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
EVGA X12,19.98,Optical,Wired,16000,Both,White / Gray
Asus P705 ROG PUGIO II,,Optical,Wireless,16000,Right,Black
