name,price,core_count,boost_clock,tdp,smt
Intel Xeon E3-1220 V3,100.99,4,3.5,80,FALSE
Intel Core i9-9900X,1229.95,10,4.4,165,TRUE
Intel Core i5-2380P,70,4,,95,FALSE
Intel Pentium Gold G6600,152.19,2,,58,TRUE
Intel Core i5-4570S,99.99,4,,65,FALSE
AMD Ryzen 3 1200 (12nm),,4,3.4,65,FALSE
Intel Core i5-3350P,,4,,69,FALSE
Intel Xeon E5-2660 V3,,10,3.3,105,TRUE
Intel Pentium Gold G5420,,2,,54,TRUE
Intel Xeon E5-2695 V2,189,12,3.2,115,TRUE
Intel Pentium G4500,49.99,2,,51,FALSE
Intel Xeon E3-1270 V3,420,4,3.9,80,TRUE
Intel Core i5-6500T,,4,3.1,35,FALSE
AMD A6-7400K,89.99,2,3.9,65,FALSE
Intel Celeron G3930,55,2,,51,FALSE
Intel Core i5-3550,335,4,,77,FALSE
AMD Phenom II X6 1100T Black,,6,,125,FALSE
Intel Core i5-7600K,,4,4.2,91,FALSE
AMD A8-7680,,4,3.8,65,FALSE
Intel Core i9-10850K,,10,5.2,125,TRUE
Intel Core i5-3340,278.02,4,3.3,77,FALSE
AMD 2650,,2,,25,FALSE
Intel Xeon E5-2698 V4,,20,3.6,135,TRUE
Intel Core i5-4690K,,4,3.9,88,FALSE
AMD Athlon II X4 640,74.79,4,,95,FALSE
Intel Core i7-2600S,355.29,4,,65,TRUE
Intel Xeon E-2236,435,6,4.8,80,TRUE
Intel Core 2 Duo E7500,99.63,2,,65,FALSE
AMD Phenom II X4 955,,4,,125,FALSE
Intel Core i7-990X Extreme Edition,,6,,130,TRUE
Intel Xeon E5-2667 V2,,8,4,130,TRUE
Intel Xeon E5-2640 V4,998.95,10,3.4,90,TRUE
Intel Core i3-9300,189.99,4,4.3,62,FALSE
Intel Core i7-960,345,4,,130,TRUE
Intel Xeon E5-2695 V4,,18,3.3,120,TRUE
Intel Core i5-10600K,,6,4.8,125,TRUE
AMD A10-7700K,132.86,4,3.8,95,FALSE
AMD Athlon X4 970,,4,4,65,FALSE
Intel Xeon E3-1230 V3,327,4,3.7,80,TRUE
Intel Xeon E3-1230 V2,271.85,4,,69,TRUE
Intel Celeron G1610,37,2,,55,FALSE
Intel Xeon E-2136,395.82,6,4.5,80,TRUE
Intel Xeon E5-1620 V4,148.94,4,3.8,140,TRUE
Intel Core i9-9820X,,10,4.1,165,TRUE
AMD A10-5800K,,4,,100,FALSE
