name,Price,rpm,noise_level,color,size
ARCTIC Freezer 34 eSports DUO,45.99,"[200,2100]",,Red / Black,
Corsair iCUE LINK H100i RGB,199.99,"[480,2400]",,Black,240
Thermaltake TH240 ARGB Sync,150.72,,,White,240
Corsair iCUE H150i RGB ELITE,159.99,"[400,1850]","[5,28.9]",White,360
Cooler Master MasterLiquid 240L Core,99.99,"[350,1750]",,White,240
Corsair iCUE LINK H170i RGB,269.99,"[400,2000]",,Black,420
Corsair H115i RGB PLATINUM,,,,Black / Silver,280
ENDORFY Fera 5,,"[250,1800]",,Black / Silver,
Thermalright Frozen Notte ARGB,71.9,,,Black,360
be quiet! Pure Loop 280,104.9,,"[22.5,38.1]",Black,280
Noctua NH-L12 Ghost S1,54.93,"[300,1600]","[13.1,17.6]",Silver / Beige,
Gigabyte AORUS WATERFORCE X,259.58,"[800,2500]","[7.9,37.6]",Black,240
Cooler Master MasterLiquid Lite 120,,"[650,2000]","[6,30]",,120
Deepcool LE520,151,"[500,2250]",,Black,240
ARCTIC Alpine 17 CO,12.99,"[250,2700]",,Black,
ID-COOLING IS-47-XT,31.49,"[800,2800]",,Black,
Deepcool LS520 WH,102.01,"[500,2250]",,White,240
Vetroo V240,79.98,,,White / Gray,240
Deepcool AK500 DIGITAL,72.98,"[500,1850]",,Black,
Noctua NH-P1,109.9,,,Silver,
IceGiant ProSiphon Elite,213.8,"[300,2300]",,Black,
Lian Li GALAHAD AIO 240 RGB,149,"[800,1900]",,Black / Silver,240
Corsair iCUE H150i RGB PRO XT,,,,Black / White,360
NZXT Kraken Z53 RGB,254.99,"[500,1500]","[22,33]",White / Black,240
Thermalright AXP90-X53,28.59,,,Gray,
Noctua NH-C14S,79.95,"[300,1500]","[19.2,24.6]",,
Thermalright Silver Soul 110,32.9,,,Black,
EK AIO Basic 360,137.68,"[550,2200]",,Black,360
Deepcool AG300,,"[500,3050]",,Black / Silver,
Thermalright Assassin King SE,19.89,,,Silver / Gray,
Corsair H100i RGB PLATINUM SE,,,,White,240
Alpenföhn BLACK RIDGE,92.79,"[800,2800]","[14,37.6]",Black,
ARCTIC Freezer A35 A-RGB,41.02,"[200,1700]",,Black,
